anoun,adjective
heard,Heard
against the will,Willful
against the will,Willful
pinnacle,Pinnacle
sinning,Sinful
unreasoning,Unreasoning
without means,Resource-less
untainted,Untainted
without parts,Impartial
ambidextrous,Ambidextrous
not to be healed,Unhealable
incurable,Incurable
compulsory,Compulsory
sinless,Sinless
like an effeminate man,Effeminate
opposed,Opposed
face to face,Face-to-face
full of caves,Cave-filled
not to be withstood,Unwithstandable
useless,Useless
sung of,Sung
unharmed,Unharmed
undisciplined,Undisciplined
hateful,Hateful
purchased with silver,Silver-purchased
made by a baker,Baker-made
original,Original
irreverent,Irreverent
unhurt,Unhurt
uncomprehending,Uncomprehending
unwounded,Unwounded
intolerable,Intolerable
pure,Pure
sinful,Sinful
wild,Wild
unleavened,Unleavened
blameless,Blameless
without order,Disordered
absurd,Absurd
lawless,Lawless
worthy,Worthy
doing nothing,Idle
male,Male
sick,Sick
unremarkable,Unremarkable
not liable to decay,Decay-free
safe from violence,Safe
disorderly,Disorderly
childless,Childless
dishonored,Dishonored
unwounded,Unwounded
senseless,Senseless
unsuitable,Unsuitable
banished,Banished
select,Select
inferior,Inferior
merciful,Merciful
ivory,Ivory
free,Free
one who sets on fire,Fiery
mine,Mine
virtuous,Virtuous
new,New
taken out,Extracted
getting under arms,Armed
plotting against,Conspiring
caught,Caught
fair,Fair
in danger,Dangerous
profitable,Profitable
at the mill,Mill-bound
annual,Annual
hundredfold,Hundredfold
voluntary,Voluntary
seven years old,Seven-year-old
boiled,Boiled
guarantee,Guaranteed
having a lot,Abundant
descendant,Descendant
vindicator,Vindicator
given up,Given-up
with the breath in one,Breath-holding
liable,Liable
last,Last
each,Each
sixth,Sixth
one,One
ready,Ready
our own,Our own
tranquil,Tranquil
worse,Worse
forceful,Forceful
forceful,Forceful
lazy,Lazy
destructive,Destructive
fewest,Fewest
morose,Morose
notable,Notable
notable,Notable
sharp,Sharp
mountainous,Mountainous
upright,Upright
orphaned,Orphaned
bitten by a snake,Snake-bitten
wayfarer,Wayfaring
of the same people,Same-raced
born of the same mother,Same-mothered
able to see,Sighted
visible,Visible
visible,Visible
straight up,Upright
late,Late
like,Similar
responsible,Responsible
responsible,Responsible
hyacinth blue,Hyacinth-blue
healthy,Healthy
contrary,Contrary
under the hand,Underhanded
high,High
high,High
highest,Highest
stated,Stated
easy,Easy
austere,Austere
foreigner,Foreign
weighty,Weighty
right,Right
well-strung,Well-strung
dominant,Dominant
new,New
bitter,Bitter
near,Near
senior,Senior
hard,Hard
wise,Wise
vehement,Vehement
fierce,Fierce
rustic,Rustic
inferior,Inferior
glorious,Glorious
clear,Clear
violent,Violent
piece of cloth,Cloth-like
heavy in spirit: indignant,Heavy-hearted
regal,Regal
blasphemous,Blasphemous
little,Little
little,Little
edible,Edible
living in the deep,Deep-dwelling
fine linen,Fine linen
calm,Calm
suitable to one's birth,Birth-suitable
carved,Carved
carved,Carved
with the tongue cut out,Tongue-cut
legitimate,Legitimate
known,Known
womanly,Womanly
abundant,Abundant
in the evening,Evening
in the evening,Evening
fearful,Fearful
acceptable,Acceptable
acceptable,Acceptable
secondary,Secondary
second,Second
speckled,Speckled
transcendent,Transcendent
made in net fashion,Net-made
double,Double
double,Double
possible,Possible
hard to take by siege,Siege-resistant
difficult of access,Difficult
hard to take in hand,Hard-to-handle
peaceful,Peaceful
obedient,Obedient
straight,Straight
straightforward,Straightforward
straight,Straight
spacious,Spacious
well-based,Well-based
easily handled,Easy-to-handle
good-hearted,Good-hearted
easily melted,Easy-to-melt
pleasing,Pleasing
well-suited,Well-suited
leavened,Leavened
leavened,Leavened
wonderful,Wonderful
wonderful,Wonderful
wished for,Wished-for
captured by wild animals,Captive
dead body,Dead
female,Female
more finely,Finely
fruitful,Fruitful
of cedar,Cedar-like
adulterated,Adulterated
at the right place,Well-placed
clean,Clean
clean,Clean
innovative,Innovative
bad,Bad
set with stones,Stone-set
left behind,Left-behind
shadowed,Shadowed
descending,Descending
in the mind,Mental
hollow,Hollow
stolen,Stolen
spun,Spun
with a docked tail,Docked-tailed
hold,Held
light,Light
barley,Barley-like
dominant,Dominant
hung,Hung
more dominant,More-dominant
superior,Superior
like ice,Ice-like
scarlet,Scarlet
servile,Servile
thin,Thin
flagstone,Flagstone-like
shiny,Shiny
finally,Finally
finally,Finally
great,Great
deemed,Deemed
long-lived,Long-lived
magnificent,Magnificent
belonging to noon,Noon-related
louder,Louder
not even one,None
not even one,None
little,Little
spun,Spun
legalities,Legal
withered,Withered
kind that,Kind
kind that,Kind
no one,No
no one,No
no one,No
no one,No
with a fair wind,Fair-winded
of clay,Clay-like
highest of all,Highest
most lamentable,Lamentable
thick,Thick
fiftieth,Fiftieth
garment,Garment
noised abroad,Noised
dry and hard all round,Dry-hard
overflowing,Overflowing
bitter,Bitter
besides,Besides
more,More
more,More
more,More
full,Full
much,Much
much,Much
harmful,Harmful
gone over,Overgone
for harlots,Harlot-related
for harlots,Harlot-related
purple,Purple
early,Early
firstborn,Firstborn
predisposed,Predisposed
earlier,Earlier
first,First
winged,Winged
fire-breathing,Fire-breathing
all,All
rotten,Rotten
planked,Planked
clear,Clear
dignified,Dignified
warped,Warped
warped,Warped
dark,Dark
eating internal organs of a sacrificial victim,Internal-organ-eating
narrow,Narrow
solid,Solid
twisted,Twisted
flexible,Flexible
round,Round
it must be conceded,Conceded
party,Festive
unwearying,Unwearying
parted,Parted
all together,Unified
harmony,Harmonious
put together,Combined
all together,Unified
short,Brief
your,Your
extremity,Extreme
fourth,Fourth
fourth,Fourth
quickly,Swift
quick,Quick
last,Last
delightsome,Delightful
fortieth,Fortieth
of four months,Four-month
quadruped,Quadrupedal
arranged in four rows,Quadrowed
melted,Melted
so tremendous,Tremendous
third,Third
blind,Blind
gray,Gray
foul,Foul
corruptible,Corruptible
fearful,Fearful
one must take heed,Heedful
fierce,Fierce
green,Green
with gold-studded bridle,Gold-studded
formed of cast metal,Cast-metal
ΛΆΘΟΣ,Incorrect
helpless,Helpless
good,Good
undissolved,Undissolved
failed,Failed
guiltless,Guiltless
momentary,Momentary
not worked up,Unworked
not shared with,Unshared
exact,Exact
painful,Painful
ΣΩΣΤΌ,Correct
using a strange tongue,Foreign-tongued
another's,Another's
unmeasured,Unmeasured
non-transferable,Non-transferable
unhoped for,Unhoped-for
faultless,Faultless
shameless,Shameless
innumerable,Innumerable
blasted by gales,Gale-blasted
giving one’s life in recompense for another’s,Life-giving
trustworthy,Trustworthy
uninhabited,Uninhabited
unseemly,Unseemly
broken sheer off,Sheared
remaining over,Remaining
of silver,Silver
left,Left
unswayable,Unswerving
urbane,Urbane
discordant,Discordant
not disturbed,Undisturbed
pure,Pure
wrought in chain manner,Chain-wrought
sinful,Sinful
tender,Tender
tender,Tender
unclear,Unclear
injurious,Injurious
top,Top
flawless,Flawless
like flowers,Floral
waterless,Waterless
worthy,Worthy
unfaithful,Unfaithful
without breath,Breathless
without fire,Fireless
male,Male
unremarkable,Unremarkable
indecent,Indecent
out of place,Out-of-place
refined,Refined
untimely,Untimely
holy,Holy
select,Select
intense,Intense
of olive-wood,Olive-wood
light,Light
breath,Breathable
able to accomplish,Accomplishable
outer,Outer
seen clearly,Clear-seen
one-fifth of something,One-fifth
one in ten,One-tenth
manifest,Manifest
manifest,Manifest
easy to reach,Reachable
seventieth,Seventieth
sevenfold,Sevenfold
inscribed,Inscribed
inferior,Inferior
with the breath in one,Breath-holding
valued,Valued
seventh,Seventh
different,Different
half-boiled,Half-boiled
half,Half
of equal value,Equal-valued
of even surface,Even-surfaced
sacred,Sacred
sharp,Sharp
looking backwards,Backward-looking
firm,Firm
all-purple,All-purple
eighth,Eighth
as much as,Equivalent
swollen,Swollen
left behind,Left-behind
shuddering a little,Shuddering
woven,Woven
woven,Woven
belonging to swine,Swine-related
looked at from beneath,Under-looked
with ears cut off,Ear-cut
attractive,Attractive
spotted,Spotted
stated,Stated
quick,Quick
burning,Burning
rotten,Rotten
clear,Clear
sympathetic,Sympathetic
serviceable,Serviceable
forceful,Forceful
forceful,Forceful
great,Great
inactive,Inactive
compulsory,Compulsory
untried,Untested
holy,Holy
profane,Profane
timid,Timid
fearful,Fearful
tenth,Tenth
right,Right
thirsty,Thirsty
straight,Straight
female,Female
clean,Clean
register,Registered
burning,Burning
finally,Final
great,Great
stained,Stained
new,New
all,All
fifth,Fifth
on foot,Footed
from pine,Pine-derived
how big/great,Imposing
broad,Broad
various,Various
of battle,Battle-related
much,Much
earlier,Earlier
how much?,How much?
all,All
your,Your
of iron,Iron-made
with bonds of iron,Iron-bound
warped,Warped
four,Four
four hundred,Four-hundred
three hundred,Three-hundred
round,Round
of brass,Brass
of copper,Copper
thousand,Thousand
unclear,Unclear
another's,Another's
double-sided rug,Double-sided
both,Both
unlucky,Unlucky
innumerable,Innumerable
left,Left
unbroken,Unbroken
original,Original
without end,Endless
holy,Holy
of the sea,Oceanic
at the furthest point,Furthest
deer,Deer-like
mine,Mine
special,Special
last,Last
seventh,Seventh
each individually,Individual
his own,His own
for the priest's office,Priestly
cheerful,Cheerful
equestrian,Equestrian
800,Eight-hundred
upright,Upright
firm,Firm
wet,Wet
captive,Captive
sprung from the land itself,Earthborn
fine linen,Fine linen
earthborn,Earthborn
carved,Carved
known,Known
naked,Naked
clear,Clear
timid,Timid
ten cubits long,Ten-cubit
right,Right
two thousand,Two-thousand
possible,Possible
full of ill-will,Ill-willed
peaceful,Peaceful
straight,Straight
straight,Straight
reverent,Reverent
wonderful,Wonderful
dead body,Dead
malefactor,Malefactor
fine,Fine
strong,Strong
ground-floor,Ground-floor
left behind,Left-behind
lowest,Lowest
hollow,Hollow
light,Light
dominant,Dominant
tasselled,Tasselled
just the one,Sole
stone,Stone-like
linen,Linen-like
rest,Restful
superficial,Superficial
great,Great
little,Small
myriad,Myriad
only,Only
new,New
minor,Minor
slothful,Slothful
alien,Alien
of wood,Wooden
household member,Household
home-born,Home-born
in all kinds of melodies,Melodic
of marble,Marble-like
acting contrary to law,Unlawful
paternal,Paternal
on foot,Footed
needy,Needy
five hundred,Five-hundred
remaining,Remaining
overflowing,Overflowing
more,More
of what kind,Kind-related
belonging to war,War-related
of battle,Battle-related
much-tangled,Tangled
costly,Costly
various,Various
harmful,Harmful
fit for business,Business-fit
senior,Senior
earlier,Earlier
firstborn,Firstborn
all,All
of iron,Iron
dark,Dark
wise,Wise
narrow,Narrow
relative,Relative
comprehending,Comprehending
all together,Unified
four,Four
wretched,Wretched
humble,Humble
enclosed by walls,Walled
complete,Complete
last,Last
four thousand,Four-thousand
four hundred,Four-hundred
with four surfaces,Four-surfaced
precious,Precious
such,Such
three hundred,Three-hundred
three,Three
three thousand,Three-thousand
three,Three
blind,Blind
friend,Friendly
fearful,Fearful
prudent,Prudent
of copper,Copper
of brass,Brass
handmade,Handmade
thousand,Thousand
serviceable,Serviceable
suitable,Suitable
of gold,Gold
formed of cast metal,Cast-metal
psalm singer,Psalm-singing
ΛΆΘΟΣ,Incorrect
ΛΆΘΟΣ,Incorrect
loved,Loved
wild,Wild
injurious,Injurious
murdering a brother,Brother-murdering
unfounded,Unfounded
guiltless,Guiltless
blameless,Blameless
irreproachable,Irreproachable
unmoved,Unmoved
licentious,Licentious
cut off sharp,Sharp-cut
of another family,Family-related
of a foreign nation,Foreign
another's,Another's
foreigner,Foreigner
unreasoning,Unreasoning
both,Both
merciless,Merciless
not to be healed,Unhealable
lawless,Lawless
waterless,Waterless
worthy,Worthy
not to be moved by prayer,Prayer-resistant
inactive,Inactive
of silver,Silver
irreverent,Irreverent
unwalled,Unwalled
thick,Thick
sinful,Sinful
senseless,Senseless
senseless,Senseless
all at once,Simultaneous
ventriloquizing,Ventriloquizing
descendant,Descendant
inferior,Inferior
free,Free
mine,Mine
some,Some
straitened,Straitened
glorious,Glorious
of a year,Yearly
valued,Valued
cravings,Craving
in fit time,Timely
choice,Choice
remaining time,Remaining
in possession of his rights and franchises,Possessed
of solitude,Solitary
last,Last
voluntary,Voluntary
different,Different
half,Half
his own,His own
forceful,Forceful
eight cubits long,Eight-cubit
few,Few
sharp,Sharp
orphaned,Orphaned
firm,Firm
responsible,Responsible
whole,Whole
as much as,Equivalent
contrary,Contrary
under the hand,Underhanded
highest,Highest
high,High
old,Old
eternal,Eternal
that may be taken,Takeable
foreigner,Foreigner
regal,Regal
blasphemous,Blasphemous
mournful,Mournful
womanly,Womanly
abundant,Abundant
fearful,Fearful
right,Right
two hundred,Two-hundred
cunning,Cunning
of ill omen,Ominous
loud,Loud
innovative,Innovative
bad,Bad
of cedar,Cedar-like
hidden,Hidden
like stone,Stone-like
legalities,Legal
all-mingled,Mingled
of all sorts,Varied
for mourning,Mourning
from pine,Pine-derived
various,Various
much,Much
darkgleaming,Darkgleaming
winged,Winged
all,All
all,All
hard,Hard
turning on pivots,Pivoting
quadruped,Quadrupedal
whispering: slanderous,Slanderous
untrodden,Untrodden
good,Good
gloomy,Gloomy
unembarrassed,Unembarrassed
imperceptive,Imperceptive
undisciplined,Undisciplined
hidden away,Hidden
inanimate,Inanimate
holy,Holy
select,Select
distinguished out of all,Distinguished
of wool,Woolen
our own,Ours
sacred,Sacred
proud,Proud
much,Much
Hebrew,Hebrew
Madbaritite,Madbaritite
Madianitis,Madianitis
eternal,Eternal
looking dry,Dry-looking
deep,Deep
weighty,Weighty
regal,Regal
firm,Firm
fine linen,Fine linen
suitable to one's birth,Suitable
knowing one's letters,Literate
abundant,Abundant
tenth,Tenth
right,Right
second,Second
public,Public
right,Right
double,Double
two thousand,Two-thousand
cunning,Cunning
hard to check,Uncheckable
twelfth,Twelfth
twentieth,Twentieth
peaceful,Peaceful
straight,Straight
significant,Significant
discoverable,Discoverable
hot,Hot
wonderful,Wonderful
divine,Divine
female,Female
mortal,Mortal
muddy,Muddy
bold,Bold
clean,Clean
bad,Bad
hollow,Hollow
common,Common
dominant,Dominant
superior,Superior
hidden,Hidden
white,White
linen,Linen
shiny,Shiny
in the midst,Midst
long,Long
superficial,Superficial
great,Great
magnificent,Magnificent
boasting,Boasting
belonging to noon,Noontime
little,Little
one,One
only,Only
by night,Nocturnal
alien,Alien
no one,No one
skyward,Skyward
all,All
fifth,Fifth
all-nourishing,All-nourishing
coastal,Coastal
flat,Flat
on foot,Footed
fifteenth,Fifteenth
fiftieth,Fiftieth
surrounding territory,Surrounding
full,Full
broad,Broad
of what kind,Kind-related
much,Much
for a long time,Long-term
harmful,Harmful
gentle,Gentle
earlier,Earlier
early,Early
of iron,Iron-made
standing,Standing
narrow,Narrow
solid,Solid
planted together,Planted
comprehending,Comprehending
your,Your
humble,Humble
quick,Quick
complete,Complete
fourteenth,Fourteenth
fourth,Fourth
third,Third
thirteenth,Thirteenth
plated with hair,Hair-plated
foul,Foul
loving ornament,Loving
joyful,Joyful
of winter,Winter-related
of gold,Gold
untrodden,Untrodden
good,Good
wild,Wild
headstrong,Headstrong
bearing away the prize,Prize-bearing
fruitless,Fruitless
exact,Exact
truthful,Truthful
another's,Another's
unmeasured,Unmeasured
for a man,Male-related
unbearable,Unbearable
uninhabited,Uninhabited
untried,Untested
not precipitate,Non-precipitate
unfaltering,Unfaltering
of,
left,Left
unwounded,Unwounded
without envy,Envy-free
holy,Holy
holiness,Holy
salt,
salty,Salty
at the furthest point,Furthest
mine,Mine
ninth,Ninth
straitened,Straitened
glorious,Glorious
outer,Outer
red,Red
last,Last
inner,Inner
seventh,Seventh
each,Each
sixteenth,Sixteenth
eleventh,Eleventh
towards evening,Evening-related
different,Different
early,Early
hostile,Hostile
sixth,Sixth
our own,Ours
his own,His
forceful,Forceful
supplication,Supplicative
eighth,Eighth
painful,Painful
eighteenth,Eighteenth
upright,Upright
like,Similar
whole,Whole
your,Your
arrogant,Arrogant
high,High
pale,Pale
great,Great
new,New
better,Better
fine,Fine
much,Much
first,First
hostile,Hostile
sweet,Sweet
exempt from duties,Exempt
praiseworthy,Praiseworthy
weighty,Weighty
regal,Regal
slanderous,Slanderous
violent,Violent
little,Little
fine linen,Fine linen
suitable to one's birth,Birth-suitable
carved,Carved
womanly,Womanly
fearful,Fearful
tenth,Tenth
consisting of ten months,Ten-month
acceptable,Acceptable
right,Right
second,Second
interwoven with gold,Gold-interwoven
right,Right
assayed,Assayed
cunning,Cunning
peaceful,Peaceful
well-girdled,Girdled
fit,Fit
spacious,Spacious
reverent,Reverent
full of wild beasts,Beast-filled
mortal,Mortal
passionate,Passionate
malefactor,Malefactor
ill-minded,Ill-minded
left behind,Left-behind
lowest,Lowest
hollow,Hollow
common,Common
filling the world,World-filling
dominant,Dominant
secret,Secret
furious,Furious
pestilence,Pestilential
finally,Final
defiled with gore,Gore-defiled
in the midst,In the midst
great,Great
raised from the ground,Ground-raised
not even one,None
neither of the two,Neither
reckoning trifles,Trifling
little,Little
hired hand,Hired
only child,Only child
stupid,Stupid
only,Only
new,New
new,New
thoughtful,Thoughtful
of sickness,Sickness-related
friend,Friendly
alien,Alien
smoothed,Smoothed
household member,Household
most pitiable,Pitiable
no one,No one
no one,No one
no one,No one
all-wise,Wise
all,All
acting contrary to law,Unlawful
resident,Resident
belonging to one's father,Father-related
paternal,Paternal
needy,Needy
neighbor,Neighborly
distraction,Distracting
bitter,Bitter
broad,Broad
sideways,Sideways
rich,Rich
of what kind,Kind-related
much,Much
costly,Costly
what kind of,Kind-related
first-born,Firstborn
firstborn,Firstborn
how much?,How much?
dark,Dark
wise,Wise
narrow,Narrow
relative,Relative
commingled,Commingled
comprehending,Comprehending
humble,Humble
precious,Precious
such,Such
as much,Equal
third,Third
thirtieth,Thirtieth
so great,Great
friend,Friendly
fearful,Fearful
prudent,Prudent
of copper,Copper
of brass,Brass
of winter,Winter
worse,Worse
Anointed,Anointed
ΛΆΘΟΣ,Incorrect
good,Good
loved,Loved
injurious,Injurious
impossible,Impossible
unmixed,Unmixed
cut off sharp,Sharp-cut
truthful,Truthful
of another family,Family-related
foreigner,Foreign
without parts,Partless
flawless,Flawless
shameless,Shameless
unworthy,Unworthy
incurable,Incurable
imperceptive,Imperceptive
lawless,Lawless
waterless,Waterless
invisible,Invisible
undisciplined,Undisciplined
not diawn hither and thither,Wandering
not to be filled,Unfillable
carrying away,Carrying
cut off,Cut-off
without want of more,Want-free
inactive,Inactive
male,Male
irreverent,Irreverent
indecent,Indecent
holy,Holy
sinful,Sinful
male,Male
senseless,Senseless
ventriloquizing,Ventriloquizing
territorial,Territorial
mine,Mine
valued,Valued
in the face,Faced
beyond what is ordained,Beyond-ordained
outer,Outer
notorious,Notorious
necessities,Necessary
of solitude,Solitary
in extreme old age,Ancient
hostile,Hostile
seventh,Seventh
each,Each
hundred years old,Hundred-year-old
voluntary,Voluntary
one,One
eleventh,Eleventh
one,One
different,Different
sweet,Sweet
half,Half
still,Still
forceful,Forceful
eighth,Eighth
sharp,Sharp
hinder,Hinder
passionate,Passionate
orphaned,Orphaned
wayfarer,Wayfaring
like,Similar
responsible,Responsible
whole,Whole
as much as,Equivalent
rendering service,Service-rendering
indebted,Indebted
highest,Highest
high,High
much,Much
rich,Rich
senior,Senior
inferior,Inferior
inner,Inner
forceful,Forceful
opportune,Opportune
great,Great
much,Much
harmful,Harmful
first,First
smallest,Smallest
eternal,Eternal
deep,Deep
profane,Profane
ten-stringed,Ten-stringed
leather,Leather
made in net fashion,Net-like
double,Double
hard to take in hand,Hand-hold difficult
twelfth,Twelfth
twentieth,Twentieth
easily paid for,Affordable
divine,Divine
of summer,Summer
clean,Clean
innovative,Innovative
bad,Bad
fine,Fine
involved in,Involved
of cedar,Cedar
scarlet,Scarlet
radiant,Radiant
long,Long
superficial,Superficial
magnificent,Magnificent
within measure,Measured
of wood,Wooden
all,All
fifth,Fifth
rich,Rich
all,All
ensign,Ensign
fifteenth,Fifteenth
fiftieth,Fiftieth
of clay,Clay
faithful,Faithful
of a shepherd,Shepherd-related
harmful,Harmful
frequent,Frequent
frequent,Frequent
of iron,Iron
hard,Hard
of myrrh,Myrrh
made of tow,Tow-made
vehement,Vehement
quick,Quick
fortieth,Fortieth
fourteenth,Fourteenth
fourth,Fourth
quadruped,Quadrupedal
four hundredth,Four-hundredth
thirteenth,Thirteenth
guiltless,Guiltless
unclean,Unclean
another's,Another's
worthy,Worthy
unapproachable,Unapproachable
hidden away,Hidden
uncomprehending,Uncomprehending
without light,Lightless
not opening the mouth,Mute
inanimate,Inanimate
untimely,Untimely
top,Top
ninth,Ninth
remaining time,Remaining
arable,Arable
of wool,Woolen
fenced,Fenced
last,Last
seventieth,Seventieth
each individually,Individual
hundredth,Hundredth
six hundredth,Six-hundredth
sixtieth,Sixtieth
seventeenth,Seventeenth
towards evening,Evening-related
coupled with an animal of diverse kind,Coupled
ready,Ready
sixth,Sixth
ready to lead,Ready-to-lead
worse,Worse
his own,His
sacred,Sacred
equal,Equal
eighteenth,Eighteenth
few,Few
fewest,Fewest
of clay,Clay
full of potsherds,Potshard-filled
firm,Firm
hyacinth blue,Hyacinth blue
latter,Latter
whistling,Whistling
twenty thousand,Twenty-thousand
straight,Straight
stained,Stained
musician,Musical
compassionate,Compassionate
all,All
broad,Broad
darkgleaming,Darkgleaming
earlier,Earlier
flexible,Flexible
intertwining complication,Intertwined
thousand,Thousand
suitable,Suitable
helpless,Helpless
blameless,Blameless
of silver,Silver
territorial,Territorial
serving as instruments,Instrumental
fine,Fine
great,Great
first,First
Hasidean,Hasidean
sordid,Sordid
captive,Captive
deep,Deep
foreigner,Foreign
old,Old
earthborn,Earthborn
carved,Carved
well-known,Well-known
naked,Naked
clear,Clear
fearful,Fearful
acceptable,Acceptable
two hundred,Two-hundred
transcendent,Transcendent
twin,Twin
right,Right
cunning,Cunning
possible,Possible
hard to take in hand,Hard-to-handle
peaceful,Peaceful
loud,Loud
reverent,Reverent
wonderful,Wonderful
wonderful,Wonderful
mortal,Mortal
left behind,Left-behind
monthly,Monthly
dominant,Dominant
just the one,Unique
mute,Mute
stone,Stone
in the midst,Midst
patient,Patient
long,Long
superficial,Superficial
fit for battle,Battle-ready
great,Great
raised from the ground,Ground-raised
bearing malice,Malicious
hardly-speaking,Hardly-speaking
stupid,Stupid
new,New
new,New
minor,Minor
carrying on the back,Burdened
alien,Alien
of wood,Wooden
carrying wood,Wood-carrying
polished,Polished
household member,Household
site of a house,Residential
old,Old
of mingled tribes,Mixed-tribe
crafty,Crafty
acting contrary to law,Unlawful
resident,Resident
belonging to one's father,Paternal
paternal,Paternal
belonging to one's father,
on foot,Footed
hewn,Hewn
five thousand,Five-thousand
overlaid with silver,Silver-overlaid
gilded,Gilded
surrounding territory,Surrounding
bitter,Bitter
faithful,Faithful
rich,Rich
sideways,Sideways
more,Additional
rich,Rich
various,Various
belonging to war,War-related
much-tangled,Tangle-some
costly,Costly
harmful,Harmful
gentle,Gentle
firstborn,Firstborn
fiery red,Fiery-red
dignified,Dignified
warped,Warped
wise,Wise
solid,Solid
solid,Solid
relative,Relative
agreement,Agreement
holding together,Cohesive
dwelling,Dwelling
comprehending,Comprehending
your,Your
